IMAGE;blurKernelSize;cannyThresholdMin;useOtsuThreshold;contourType;shapeIgnoreSize;shapeIgnoreConcave;drawFilteredShapes;CameraGalery;OriginalSize;FinalSize
1;3;30;true;EXTERNAL;3000;true;true;G;1300x1300;0x0
2;3;30;true;EXTERNAL;3000;true;true;G;336x400;0x0
3;3;30;true;EXTERNAL;3000;true;true;G;3264x2448;1600x1200
4;3;30;true;EXTERNAL;3000;true;true;G;307x307;1600x1200
5;3;30;true;EXTERNAL;3000;true;true;G;450x450;1600x1200
6;3;30;true;EXTERNAL;3000;true;true;G;1500x1161;1600x1200
7;3;30;true;EXTERNAL;3000;true;true;G;260x194;1600x1200
8;3;30;true;EXTERNAL;3000;true;true;G;291x173;1600x1200
9;3;30;true;EXTERNAL;3000;true;true;G;450x359;1600x1200
10;9;30;true;EXTERNAL;3000;true;true;G;1300x1300;0x0
11;9;30;true;EXTERNAL;3000;true;true;G;336x400;0x0
12;9;30;true;EXTERNAL;3000;true;true;G;3264x2448;1600x1200
13;9;30;true;EXTERNAL;3000;true;true;G;307x307;1600x1200
14;9;30;true;EXTERNAL;3000;true;true;G;450x450;1600x1200
15;9;30;true;EXTERNAL;3000;true;true;G;1500x1161;1600x1200
16;9;30;true;EXTERNAL;3000;true;true;G;260x194;1600x1200
17;9;30;true;EXTERNAL;3000;true;true;G;291x173;1600x1200
18;9;30;true;EXTERNAL;3000;true;true;G;450x359;1600x1200
19;1;30;true;EXTERNAL;3000;true;true;G;1300x1300;0x0
20;2;30;true;EXTERNAL;3000;true;true;G;1300x1300;0x0
21;2;30;true;EXTERNAL;3000;true;true;G;336x400;0x0
22;2;30;true;EXTERNAL;3000;true;true;G;3264x2448;1600x1200
23;2;30;true;EXTERNAL;3000;true;true;G;307x307;1600x1200
24;2;30;true;EXTERNAL;3000;true;true;G;450x450;1600x1200
25;2;30;true;EXTERNAL;3000;true;true;G;1500x1161;1600x1200
26;2;30;true;EXTERNAL;3000;true;true;G;260x194;1600x1200
27;2;30;true;EXTERNAL;3000;true;true;G;291x173;1600x1200
28;2;30;true;EXTERNAL;3000;true;true;G;450x359;1600x1200
