IMAGE;blurKernelSize;cannyThresholdMin;useOtsuThreshold;contourType;shapeIgnoreSize;shapeIgnoreConcave;drawFilteredShapes;CameraGalery;OriginalSize;FinalSize
1;3;30;true;EXTERNAL;3000;true;true;G;1366x768;0x0
2;3;30;true;EXTERNAL;3000;true;true;G;1103x486;0x0
3;3;30;true;EXTERNAL;3000;true;true;G;556x347;0x0
4;3;30;true;EXTERNAL;3000;true;true;G;1024x768;0x0
5;3;30;true;EXTERNAL;3000;true;true;G;751x396;0x0
6;3;30;true;EXTERNAL;3000;true;true;G;1080x866;0x0
7;3;30;true;EXTERNAL;3000;true;true;G;277x182;0x0
8;3;30;true;EXTERNAL;3000;true;true;G;869x619;0x0
9;3;30;true;EXTERNAL;3000;true;true;G;480x404;0x0
10;7;30;true;EXTERNAL;3000;true;true;G;1366x768;0x0
11;7;30;true;EXTERNAL;3000;true;true;G;1103x486;0x0
12;7;30;true;EXTERNAL;3000;true;true;G;556x347;0x0
13;7;30;true;EXTERNAL;3000;true;true;G;1024x768;0x0
14;7;30;true;EXTERNAL;3000;true;true;G;751x396;0x0
15;7;30;true;EXTERNAL;3000;true;true;G;1080x866;0x0
16;7;30;true;EXTERNAL;3000;true;true;G;277x182;0x0
17;7;30;true;EXTERNAL;3000;true;true;G;869x619;0x0
18;7;30;true;EXTERNAL;3000;true;true;G;480x404;0x0
19;2;30;true;EXTERNAL;3000;true;true;G;1366x768;0x0
20;2;30;true;EXTERNAL;3000;true;true;G;1103x486;0x0
21;2;30;true;EXTERNAL;3000;true;true;G;556x347;0x0
22;2;30;true;EXTERNAL;3000;true;true;G;1024x768;0x0
23;2;30;true;EXTERNAL;3000;true;true;G;751x396;0x0
24;2;30;true;EXTERNAL;3000;true;true;G;1080x866;0x0
25;2;30;true;EXTERNAL;3000;true;true;G;277x182;0x0
26;2;30;true;EXTERNAL;3000;true;true;G;869x619;0x0
27;2;30;true;EXTERNAL;3000;true;true;G;480x404;0x0
28;3;30;false;EXTERNAL;3000;true;true;G;1366x768;0x0
29;3;30;false;EXTERNAL;3000;true;true;G;1103x486;0x0
30;3;30;false;EXTERNAL;3000;true;true;G;556x347;0x0
31;3;30;false;EXTERNAL;3000;true;true;G;1024x768;0x0
32;3;30;false;EXTERNAL;3000;true;true;G;751x396;0x0
33;3;30;false;EXTERNAL;3000;true;true;G;1080x866;0x0
34;3;30;false;EXTERNAL;3000;true;true;G;277x182;0x0
35;3;30;false;EXTERNAL;3000;true;true;G;869x619;0x0
36;3;30;false;EXTERNAL;3000;true;true;G;480x404;0x0
37;3;10;true;EXTERNAL;3000;true;true;G;1366x768;0x0
38;3;10;true;EXTERNAL;3000;true;true;G;1103x486;0x0
39;3;10;true;EXTERNAL;3000;true;true;G;556x347;0x0
40;3;10;true;EXTERNAL;3000;true;true;G;1024x768;0x0
41;3;10;true;EXTERNAL;3000;true;true;G;751x396;0x0
42;3;10;true;EXTERNAL;3000;true;true;G;1080x866;0x0
43;3;10;true;EXTERNAL;3000;true;true;G;277x182;0x0
44;3;10;true;EXTERNAL;3000;true;true;G;869x619;0x0
45;3;10;true;EXTERNAL;3000;true;true;G;480x404;0x0
46;3;50;true;EXTERNAL;3000;true;true;G;1366x768;0x0
47;3;50;true;EXTERNAL;3000;true;true;G;1103x486;0x0
48;3;50;true;EXTERNAL;3000;true;true;G;556x347;0x0
49;3;50;true;EXTERNAL;3000;true;true;G;1024x768;0x0
50;3;50;true;EXTERNAL;3000;true;true;G;751x396;0x0
51;3;50;true;EXTERNAL;3000;true;true;G;1080x866;0x0
52;3;50;true;EXTERNAL;3000;true;true;G;277x182;0x0
53;3;50;true;EXTERNAL;3000;true;true;G;869x619;0x0
54;3;50;true;EXTERNAL;3000;true;true;G;480x404;0x0
55;3;30;true;EXTERNAL;3000;true;true;G;1366x768;0x0
56;3;30;true;EXTERNAL;3000;true;true;G;1103x486;0x0
57;3;30;true;EXTERNAL;3000;true;true;G;556x347;0x0
58;3;30;true;EXTERNAL;3000;true;true;G;1024x768;0x0
59;3;30;true;EXTERNAL;3000;true;true;G;751x396;0x0
60;3;30;true;EXTERNAL;3000;true;true;G;1080x866;0x0
61;3;30;true;EXTERNAL;3000;true;true;G;277x182;0x0
62;3;30;true;EXTERNAL;3000;true;true;G;869x619;0x0
63;3;30;true;EXTERNAL;3000;true;true;G;480x404;0x0
64;3;30;true;EXTERNAL;3000;true;true;G;1366x768;0x0
65;3;30;true;EXTERNAL;3000;true;true;G;1103x486;0x0
66;3;30;true;EXTERNAL;3000;true;true;G;556x347;0x0
67;3;30;true;EXTERNAL;3000;true;true;G;1024x768;0x0
68;3;30;true;EXTERNAL;3000;true;true;G;751x396;0x0
69;3;30;true;EXTERNAL;3000;true;true;G;1080x866;0x0
70;3;30;true;EXTERNAL;3000;true;true;G;277x182;0x0
71;3;30;true;EXTERNAL;3000;true;true;G;869x619;0x0
72;3;30;true;EXTERNAL;3000;true;true;G;480x404;0x0
